Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,12/09/2025,19:45,Standard,Mechelen,,2.3,3.25,3,2.38,3.2,2.88,2.33,3.35,2.95,2.3,3.3,3,2.37,3.4,2.9,2.37,3.4,2.9,2.37,3.4,2.87,2.37,3.35,3.19,2.38,3.4,3.1,2.34,3.29,2.95,2.4,3.45,3.3,1.95,1.85,2.01,1.88,1.95,1.86,1.9,1.82,2,1.93,-0.25,1.98,1.83,2.04,1.87,2.02,1.83,1.97,1.78,2.05,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,13/09/2025,15:00,Waregem,Oud-Heverlee Leuven,,2.4,3.4,2.88,2.4,3.2,2.8,2.35,3.45,2.88,2.38,3.3,2.75,2.4,3.4,2.85,2.4,3.5,2.87,2.37,3.4,2.8,2.42,3.44,2.9,2.45,3.5,2.9,2.38,3.35,2.82,2.5,3.55,2.9,1.93,1.88,1.92,1.93,1.93,1.88,1.89,1.82,1.32,1.92,0,1.75,2.05,1.76,2.12,1.83,2.07,1.72,2.04,1.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,13/09/2025,17:15,Dender,St. Gilloise,,6,4.5,1.48,7,4,1.44,6.75,4.4,1.46,6.5,4.1,1.44,6.5,4.33,1.5,6.5,4.33,1.5,6.5,4.33,1.5,7.24,4.41,1.44,7,4.5,1.5,6.61,4.26,1.46,7.6,4.7,1.47,1.83,1.98,1.88,1.98,1.83,1.98,1.79,1.94,1.28,1.35,1,2.03,1.78,2.11,1.76,2.1,1.78,2.04,1.74,2.11,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,13/09/2025,19:45,RAAL La Louviere,Club Brugge,,5.75,4.5,1.48,6.5,4.33,1.44,6.75,4.5,1.44,6,4.33,1.45,6,4.5,1.49,6,4.5,1.5,6,4.5,1.5,6.47,4.55,1.47,6.75,4.5,1.5,6.2,4.43,1.46,6.6,4.8,1.49,1.67,2.15,1.68,2.22,1.67,2.16,1.65,2.12,1.7,2.22,1.25,1.75,2.05,1.79,2.1,1.85,2.05,1.78,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/09/2025,12:30,Antwerp,Gent,,2.45,3.3,2.9,2.4,3.3,2.75,2.28,3.6,2.9,2.38,3.4,2.7,2.4,3.5,2.8,2.4,3.5,2.8,2.37,3.5,2.8,2.46,3.56,2.76,2.45,3.6,2.9,2.36,3.45,2.79,2.6,3.55,2.86,1.75,2.05,1.78,2.06,1.8,2.05,1.74,2,1.67,1.88,0,1.78,2.03,1.82,2.04,1.83,2.05,1.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/09/2025,15:00,Cercle Brugge,Charleroi,,2.15,3.4,3.25,2.15,3.3,3.2,2.17,3.55,3.1,2.1,3.4,3.13,2.15,3.5,3.2,2.15,3.5,3.2,2.15,3.5,3.2,2.14,3.51,3.35,2.17,3.6,3.25,2.14,3.45,3.16,2.22,3.3,3.7,1.88,1.93,1.88,1.95,1.88,1.93,1.83,1.88,1.9,1.96,-0.25,1.85,1.95,1.86,1.99,1.89,1.95,1.84,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/09/2025,17:30,Anderlecht,Genk,,2.5,3.4,2.75,2.5,3.4,2.63,2.4,3.65,2.65,2.4,3.5,2.6,2.45,3.6,2.65,2.45,3.7,2.7,2.45,3.6,2.62,2.52,3.53,2.71,2.5,3.7,2.75,2.43,3.53,2.65,2.6,3.7,2.88,1.7,2.1,1.69,2.2,1.7,2.2,1.64,2.14,1.58,2.22,0,1.83,1.98,1.85,2,1.83,2.23,1.73,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/09/2025,18:15,St Truiden,Westerlo,,2.1,3.8,3.1,2.1,3.6,3.1,2.05,3.9,3.15,2.05,3.6,3.1,2.1,3.8,3.1,2.1,3.9,3.1,2.1,3.8,3,2.09,3.66,3.36,2.15,3.9,3.15,2.08,3.74,3.1,2.08,3.55,3.7,1.57,2.35,1.58,2.4,1.57,2.38,1.54,2.33,1.61,2.4,-0.25,1.83,1.98,1.83,2.04,1.86,1.98,1.81,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,12/09/2025,19:30,Leverkusen,Ein Frankfurt,,2.1,3.8,3.2,2.15,3.75,3.1,2.08,3.75,3.2,2.1,3.9,3,2.1,3.9,3.1,2.1,3.9,3.1,2.1,3.8,3.1,2.16,3.83,3.29,2.15,3.9,3.2,2.1,3.8,3.11,2.22,3.95,3.35,1.44,2.75,1.44,2.82,1.46,2.8,1.44,2.72,1.48,3,-0.25,1.85,2,1.89,2.03,1.86,2,1.82,1.95,1.93,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,13/09/2025,14:30,Freiburg,Stuttgart,,2.9,3.6,2.35,2.88,3.6,2.3,2.9,3.7,2.28,2.7,3.5,2.25,2.8,3.6,2.35,2.8,3.6,2.37,2.8,3.6,2.3,2.92,3.64,2.41,3,3.7,2.37,2.84,3.59,2.29,3,3.7,2.46,1.57,2.38,1.61,2.41,1.63,2.38,1.58,2.29,1.64,2.46,0.25,1.8,2.05,1.83,2.1,1.89,2.05,1.8,1.93,1.87,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
